country,total_questions,baseline_correct,baseline_accuracy,rag_correct,rag_accuracy,full_correct,full_accuracy,rag_delta,full_delta
AU,7,7,100.0,7,100.0,7,100.0,0.0,0.0
BG,7,4,57.14285714285714,5,71.42857142857143,4,57.14285714285714,14.285714285714292,0.0
CN,5,4,80.0,4,80.0,4,80.0,0.0,0.0
EC,8,5,62.5,5,62.5,4,50.0,0.0,-12.5
EG,7,5,71.42857142857143,6,85.71428571428571,6,85.71428571428571,14.285714285714278,14.285714285714278
ES,12,10,83.33333333333334,10,83.33333333333334,10,83.33333333333334,0.0,0.0
FR,8,5,62.5,5,62.5,3,37.5,0.0,-25.0
GB,5,5,100.0,5,100.0,5,100.0,0.0,0.0
GR,5,4,80.0,4,80.0,4,80.0,0.0,0.0
ID,5,5,100.0,5,100.0,5,100.0,0.0,0.0
IE,7,7,100.0,7,100.0,7,100.0,0.0,0.0
IR,5,4,80.0,4,80.0,4,80.0,0.0,0.0
JP,7,7,100.0,7,100.0,7,100.0,0.0,0.0
KR,5,3,60.0,5,100.0,3,60.0,40.0,0.0
LK,7,6,85.71428571428571,6,85.71428571428571,6,85.71428571428571,0.0,0.0
MA,7,7,100.0,7,100.0,7,100.0,0.0,0.0
MX,5,5,100.0,4,80.0,4,80.0,-20.0,-20.0
PH,8,7,87.5,7,87.5,7,87.5,0.0,0.0
SA,7,3,42.857142857142854,3,42.857142857142854,2,28.57142857142857,0.0,-14.285714285714285
SG,21,21,100.0,21,100.0,21,100.0,0.0,0.0
