intent,total,correct_v3,errors_v3,accuracy_v3,error_rate_v3,correct_v4,errors_v4,accuracy_v4,error_rate_v4
culture_landmarks,4,4,0,100.0,0.0,3,1,75.0,25.0
economy_currency_symbols,12,8,4,66.66666666666667,33.33333333333333,9,3,75.0,25.0
food_drink,28,25,3,89.28571428571429,10.714285714285714,25,3,89.28571428571429,10.714285714285714
geography_places,16,12,4,75.0,25.0,14,2,87.5,12.5
government_politics,8,8,0,100.0,0.0,8,0,100.0,0.0
history_identity,2,1,1,50.0,50.0,1,1,50.0,50.0
holidays_festivals,22,21,1,95.45454545454544,4.545454545454546,20,2,90.9090909090909,9.090909090909092
language_writing,5,4,1,80.0,20.0,3,2,60.0,40.0
media_popculture,21,16,5,76.19047619047619,23.809523809523807,16,5,76.19047619047619,23.809523809523807
other,22,16,6,72.72727272727273,27.27272727272727,16,6,72.72727272727273,27.27272727272727
sports,8,5,3,62.5,37.5,5,3,62.5,37.5
